starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	349
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	347
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	349
Fri Jun 17 18:40:32 2011	1308328832	0	349	350	348
Fri Jun 17 18:40:29 2011	1308328829	1	351	352	350
Fri Jun 17 18:40:32 2011	1308328832	0	352	353	352
Fri Jun 17 18:40:32 2011	1308328832	0	354	354	354
Fri Jun 17 18:40:32 2011	1308328832	0	354	355	354
Fri Jun 17 18:40:29 2011	1308328829	1	354	355	353
Fri Jun 17 18:40:32 2011	1308328832	0	355	355	354
Fri Jun 17 18:40:32 2011	1308328832	0	355	355	355
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	355
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	355
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	356
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	356
Fri Jun 17 18:40:32 2011	1308328832	0	356	357	356
Fri Jun 17 18:40:32 2011	1308328832	0	357	357	356
Fri Jun 17 18:40:32 2011	1308328832	0	357	357	356
Fri Jun 17 18:40:32 2011	1308328832	0	357	357	357
Fri Jun 17 18:40:32 2011	1308328832	0	357	358	357
Fri Jun 17 18:40:32 2011	1308328832	0	358	358	357
Fri Jun 17 18:40:29 2011	1308328829	1	357	358	357
Fri Jun 17 18:40:32 2011	1308328832	0	358	358	357
Fri Jun 17 18:40:32 2011	1308328832	0	358	358	358
Fri Jun 17 18:40:32 2011	1308328832	0	358	358	358
Fri Jun 17 18:40:32 2011	1308328832	0	358	359	358
Fri Jun 17 18:40:32 2011	1308328832	0	359	359	358
Fri Jun 17 18:40:32 2011	1308328832	0	359	359	359
Fri Jun 17 18:40:32 2011	1308328832	0	359	359	359
Fri Jun 17 18:40:32 2011	1308328832	0	360	360	359
Fri Jun 17 18:40:29 2011	1308328829	1	360	361	359
Fri Jun 17 18:40:32 2011	1308328832	0	361	361	360
Fri Jun 17 18:40:32 2011	1308328832	0	362	362	362
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	362
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	362
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	362
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	362
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	362
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:31 2011	1308328831	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	363	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	363	364	362
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:29 2011	1308328829	1	363	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	363
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	364	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	364	365	364
Fri Jun 17 18:40:31 2011	1308328831	0	364	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	365	365	362
Fri Jun 17 18:40:32 2011	1308328832	0	365	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	365	365	364
Fri Jun 17 18:40:32 2011	1308328832	0	365	365	363
Fri Jun 17 18:40:32 2011	1308328832	0	365	365	363
Fri Jun 17 18:40:32 2011	1308328832	0	365	365	364
Fri Jun 17 18:40:31 2011	1308328831	0	366	366	365
Fri Jun 17 18:40:32 2011	1308328832	0	366	366	365
Fri Jun 17 18:40:31 2011	1308328831	0	366	366	365
Fri Jun 17 18:40:32 2011	1308328832	0	366	366	365
Fri Jun 17 18:40:31 2011	1308328831	0	366	366	366
Fri Jun 17 18:40:31 2011	1308328831	0	366	366	366
Fri Jun 17 18:40:31 2011	1308328831	0	367	367	366
Fri Jun 17 18:40:32 2011	1308328832	0	367	367	366
Fri Jun 17 18:40:32 2011	1308328832	0	367	367	366
Fri Jun 17 18:40:32 2011	1308328832	0	367	367	365
Fri Jun 17 18:40:31 2011	1308328831	0	367	367	366
Fri Jun 17 18:40:30 2011	1308328830	0	366	367	366
Fri Jun 17 18:40:29 2011	1308328829	1	366	367	366
Fri Jun 17 18:40:31 2011	1308328831	0	367	367	367
Fri Jun 17 18:40:32 2011	1308328832	0	367	367	367
Fri Jun 17 18:40:31 2011	1308328831	0	367	368	367
Fri Jun 17 18:40:32 2011	1308328832	0	367	368	367
Fri Jun 17 18:40:32 2011	1308328832	0	368	368	367
Fri Jun 17 18:40:30 2011	1308328830	0	368	368	367
Fri Jun 17 18:40:31 2011	1308328831	0	368	368	368
Fri Jun 17 18:40:30 2011	1308328830	0	368	368	368
Fri Jun 17 18:40:32 2011	1308328832	0	368	368	368
Fri Jun 17 18:40:30 2011	1308328830	0	368	368	368
Fri Jun 17 18:40:32 2011	1308328832	0	368	368	367
Fri Jun 17 18:40:30 2011	1308328830	0	368	369	368
Fri Jun 17 18:40:29 2011	1308328829	0	368	369	368
Fri Jun 17 18:40:31 2011	1308328831	0	368	369	367
Fri Jun 17 18:40:30 2011	1308328830	0	368	369	368
Fri Jun 17 18:40:30 2011	1308328830	0	368	369	368
Fri Jun 17 18:40:30 2011	1308328830	0	368	369	368
Fri Jun 17 18:40:31 2011	1308328831	0	369	369	368
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	368
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	368
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:31 2011	1308328831	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
Fri Jun 17 18:40:30 2011	1308328830	0	369	369	369
