starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 16:19:33 2011	1308320373	0	146	146	146
Fri Jun 17 16:19:32 2011	1308320372	0	146	146	146
Fri Jun 17 16:19:34 2011	1308320374	0	146	146	146
Fri Jun 17 16:19:36 2011	1308320376	0	146	147	146
Fri Jun 17 16:19:35 2011	1308320375	0	146	147	146
Fri Jun 17 16:19:33 2011	1308320373	0	146	147	146
Fri Jun 17 16:19:32 2011	1308320372	0	146	147	146
Fri Jun 17 16:19:32 2011	1308320372	0	147	147	147
Fri Jun 17 16:19:32 2011	1308320372	0	147	147	147
Fri Jun 17 16:19:35 2011	1308320375	0	147	148	147
Fri Jun 17 16:19:33 2011	1308320373	0	147	148	147
Fri Jun 17 16:19:36 2011	1308320376	0	148	148	148
Fri Jun 17 16:19:32 2011	1308320372	0	148	148	148
Fri Jun 17 16:19:36 2011	1308320376	0	148	148	148
Fri Jun 17 16:19:33 2011	1308320373	0	148	148	148
Fri Jun 17 16:19:33 2011	1308320373	0	148	148	148
Fri Jun 17 16:19:36 2011	1308320376	0	148	148	148
Fri Jun 17 16:19:34 2011	1308320374	0	148	148	148
Fri Jun 17 16:19:35 2011	1308320375	0	148	148	148
Fri Jun 17 16:19:35 2011	1308320375	0	149	149	149
Fri Jun 17 16:19:35 2011	1308320375	0	149	149	149
Fri Jun 17 16:19:34 2011	1308320374	0	149	149	149
Fri Jun 17 16:19:32 2011	1308320372	0	149	149	149
Fri Jun 17 16:19:35 2011	1308320375	0	150	150	150
Fri Jun 17 16:19:32 2011	1308320372	0	150	150	150
Fri Jun 17 16:19:32 2011	1308320372	0	150	151	150
Fri Jun 17 16:19:34 2011	1308320374	0	150	151	150
Fri Jun 17 16:19:34 2011	1308320374	0	151	151	150
Fri Jun 17 16:19:35 2011	1308320375	0	151	151	151
Fri Jun 17 16:19:33 2011	1308320373	0	152	152	152
Fri Jun 17 16:19:35 2011	1308320375	0	152	152	152
Fri Jun 17 16:19:34 2011	1308320374	0	152	152	152
Fri Jun 17 16:19:32 2011	1308320372	0	152	153	152
Fri Jun 17 16:19:32 2011	1308320372	0	152	153	152
Fri Jun 17 16:19:32 2011	1308320372	0	153	153	153
Fri Jun 17 16:19:35 2011	1308320375	0	153	154	153
Fri Jun 17 16:19:33 2011	1308320373	0	154	154	154
Fri Jun 17 16:19:36 2011	1308320376	0	154	154	154
Fri Jun 17 16:19:33 2011	1308320373	0	154	155	154
Fri Jun 17 16:19:33 2011	1308320373	0	155	156	155
Fri Jun 17 16:19:32 2011	1308320372	0	156	156	155
Fri Jun 17 16:19:35 2011	1308320375	0	156	157	156
Fri Jun 17 16:19:35 2011	1308320375	0	156	157	156
Fri Jun 17 16:19:32 2011	1308320372	0	156	157	156
Fri Jun 17 16:19:34 2011	1308320374	0	157	158	157
Fri Jun 17 16:19:33 2011	1308320373	0	158	158	158
Fri Jun 17 16:19:33 2011	1308320373	0	158	158	158
Fri Jun 17 16:19:33 2011	1308320373	0	158	158	158
Fri Jun 17 16:19:34 2011	1308320374	0	158	159	158
Fri Jun 17 16:19:35 2011	1308320375	0	158	159	158
Fri Jun 17 16:19:33 2011	1308320373	0	158	159	158
Fri Jun 17 16:19:34 2011	1308320374	0	158	159	158
Fri Jun 17 16:19:33 2011	1308320373	0	159	159	159
Fri Jun 17 16:19:35 2011	1308320375	0	159	160	159
Fri Jun 17 16:19:33 2011	1308320373	0	160	160	160
Fri Jun 17 16:19:33 2011	1308320373	0	160	160	160
Fri Jun 17 16:19:33 2011	1308320373	0	161	161	160
Fri Jun 17 16:19:34 2011	1308320374	0	161	161	161
Fri Jun 17 16:19:32 2011	1308320372	0	161	162	161
Fri Jun 17 16:19:32 2011	1308320372	0	162	162	162
Fri Jun 17 16:19:34 2011	1308320374	0	162	162	162
Fri Jun 17 16:19:32 2011	1308320372	0	162	162	162
Fri Jun 17 16:19:32 2011	1308320372	0	163	163	163
Fri Jun 17 16:19:35 2011	1308320375	0	164	164	164
Fri Jun 17 16:19:36 2011	1308320376	0	166	166	166
Fri Jun 17 16:19:33 2011	1308320373	0	166	167	166
Fri Jun 17 16:19:33 2011	1308320373	0	168	168	168
Fri Jun 17 16:19:33 2011	1308320373	0	168	169	168
Fri Jun 17 16:19:34 2011	1308320374	0	169	169	169
Fri Jun 17 16:19:34 2011	1308320374	0	170	171	170
Fri Jun 17 16:19:33 2011	1308320373	0	172	172	172
Fri Jun 17 16:19:36 2011	1308320376	0	172	173	172
Fri Jun 17 16:19:33 2011	1308320373	0	173	173	173
Fri Jun 17 16:19:34 2011	1308320374	0	175	175	175
Fri Jun 17 16:19:33 2011	1308320373	0	175	175	175
Fri Jun 17 16:19:33 2011	1308320373	0	178	178	177
Fri Jun 17 16:19:33 2011	1308320373	0	180	180	180
Fri Jun 17 16:19:32 2011	1308320372	0	180	180	180
Fri Jun 17 16:19:34 2011	1308320374	0	182	182	182
Fri Jun 17 16:19:36 2011	1308320376	0	183	183	183
Fri Jun 17 16:19:36 2011	1308320376	0	184	184	184
Fri Jun 17 16:19:36 2011	1308320376	0	184	184	184
Fri Jun 17 16:19:34 2011	1308320374	0	185	185	185
Fri Jun 17 16:19:33 2011	1308320373	0	185	185	185
Fri Jun 17 16:19:34 2011	1308320374	0	185	186	185
Fri Jun 17 16:19:34 2011	1308320374	0	186	186	186
Fri Jun 17 16:19:33 2011	1308320373	0	186	186	186
Fri Jun 17 16:19:34 2011	1308320374	0	187	187	187
Fri Jun 17 16:19:36 2011	1308320376	0	187	187	187
Fri Jun 17 16:19:33 2011	1308320373	0	188	188	188
Fri Jun 17 16:19:32 2011	1308320372	0	190	190	190
Fri Jun 17 16:19:34 2011	1308320374	0	194	194	194
Fri Jun 17 16:19:34 2011	1308320374	0	195	196	195
Fri Jun 17 16:19:33 2011	1308320373	0	197	197	197
Fri Jun 17 16:19:36 2011	1308320376	0	197	197	197
Fri Jun 17 16:19:34 2011	1308320374	0	198	198	198
Fri Jun 17 16:19:35 2011	1308320375	0	199	199	199
Fri Jun 17 16:19:36 2011	1308320376	0	202	202	202
Fri Jun 17 16:19:34 2011	1308320374	0	203	203	203
Fri Jun 17 16:19:32 2011	1308320372	0	203	204	203
Fri Jun 17 16:19:34 2011	1308320374	0	205	205	205
Fri Jun 17 16:19:34 2011	1308320374	0	208	208	208
Fri Jun 17 16:19:34 2011	1308320374	0	212	212	212
Fri Jun 17 16:19:33 2011	1308320373	0	224	224	224
Fri Jun 17 16:19:36 2011	1308320376	0	236	237	236
Fri Jun 17 16:19:36 2011	1308320376	0	239	239	239
